Price,Odometer,Make,Year,BodyType,Drivetrain,Fuel,Transmission,Colour,Seats,FuelConsumption
51977,188867,25,2004,5,4,2,1,7,8,8.911157025
73826,141530,25,2005,5,4,2,1,7,8,8.911157025
52000,197600,25,2004,5,4,2,1,1,8,8.911157025
30990,215000,25,2005,5,4,1,2,7,8,8.911157025
18000,464740,25,2000,5,4,1,1,7,8,8.911157025
17999,464740,25,2000,5,4,1,1,7,8,8.911157025
32000,250000,25,2004,5,4,1,1,7,8,8.911157025
28999,380869,25,2005,5,4,1,1,4,8,8.911157025
24000,336259,25,1999,5,4,2,2,1,8,8.911157025
18000,345000,25,1998,5,4,1,1,7,8,8.911157025
935000,18944,17,2022,3,1,1,1,12,2,10.7
87990,59930,6,2016,1,1,1,2,2,5,13.8
34499,41489,16,2019,1,2,1,1,1,5,7.6
970000,95,17,2021,3,1,1,1,12,2,13.2
48000,22100,25,1989,5,4,2,2,1,8,8.911157025
47500,167357,25,1993,5,4,2,2,7,8,8.911157025
2500,29100,26,1994,1,2,1,1,1,5,8.911157025
24977,44366,2,2017,2,2,1,1,4,5,4.4
17984,86572,2,2013,2,2,1,1,1,5,5.3
26500,46212,2,2014,1,2,1,1,2,5,4.7
30000,56017,2,2016,1,2,1,1,5,5,4.7
25990,46212,2,2014,1,2,1,1,2,5,4.7
30000,56017,2,2016,1,2,1,1,5,5,4.7
51969,19302,2,2019,1,4,1,1,7,5,6.3
35998,77612,2,2016,1,2,1,1,1,5,5.3
59980,24334,2,2019,3,4,1,1,2,4,6.5
38888,111527,2,2016,2,3,2,1,7,5,6.5
42977,47784,2,2017,1,2,2,1,2,5,4.2
89900,3100,2,2019,1,3,1,1,3,5,7.3
94990,4232,2,2020,2,3,1,1,3,5,7.3
161141,0,2,2022,2,3,1,1,1,5,7.3
160899,2111,2,2021,1,3,2,1,3,5,5.9
38000,74000,18,2018,2,2,2,1,5,5,4.2
4990,65000,23,2012,2,2,1,2,5,4,4.7
1795000,100,18,2021,3,1,1,1,2,2,13.2
23000,145000,18,2014,2,2,1,1,2,5,6.5
16990,320418,16,2003,7,4,2,2,4,5,9.7
39990,107356,16,2017,7,4,2,1,1,5,10
127000,46000,18,2016,3,1,1,1,1,2,8.911157025
8900,179658,26,2008,2,2,1,1,1,4,9
6900,177208,26,2007,2,2,1,1,4,4,9
15999,81063,26,2011,2,2,1,1,5,4,9.4
9500,167500,26,2007,2,2,1,1,4,4,9.4
19985,105597,3,2018,5,2,1,1,2,5,4.7
13900,109000,19,2008,3,2,1,2,4,4,8.8
17000,209000,8,2009,1,1,1,1,2,5,12.6
16000,116000,8,2014,5,3,1,1,3,5,10.1
64890,5886,11,2021,4,2,2,1,3,8,8.911157025
20990,18670,23,2015,6,4,1,2,7,2,8.911157025
25000,113000,18,2014,4,2,2,1,1,5,5.5
10000,113000,18,2001,1,2,1,1,2,5,10.8
88800,169000,25,1994,2,4,1,2,4,4,8.911157025
11999,141651,11,2013,3,2,1,2,5,5,8.911157025
14984,83699,11,2010,3,2,1,1,3,5,8.911157025
13988,81650,11,2013,3,2,1,1,2,5,8.911157025
8799,199399,11,2011,1,2,1,1,5,5,8.911157025
15444,111002,11,2014,2,2,1,1,3,5,8.911157025
15985,120852,11,2015,1,2,1,1,1,5,8.911157025
19998,79790,11,2017,2,2,1,1,1,5,8.911157025
13980,99122,11,2012,2,2,1,1,1,5,8.911157025
29990,3225,11,2021,2,3,1,1,1,5,8.911157025
87888,9738,9,2021,2,2,1,2,2,5,8.8
14000,133000,18,2004,3,1,1,1,7,4,11
61888,180116,8,2013,1,1,1,1,2,5,12.9
24900,127000,8,2014,5,1,2,2,1,5,8.1
38888,148896,8,2020,7,4,2,1,1,5,8.6
15000,45000,20,2011,2,2,1,1,7,5,7
50995,98474,8,2013,1,1,1,2,1,5,11.8
26490,83509,8,2018,1,1,1,1,4,5,7
95000,12743,8,2017,1,1,1,1,2,5,12.9
14500,150000,8,2011,4,1,1,1,2,5,10.3
68369,75658,8,2017,1,1,1,2,1,5,12.6
50000,93000,13,1970,3,1,1,1,4,5,8.911157025
69500,80000,13,1947,3,1,1,2,5,5,8.911157025
89000,63185,13,1979,3,1,1,1,1,5,8.911157025
4590,279000,25,2006,1,2,1,2,7,5,7.7
5000,261000,25,2007,2,2,1,2,7,5,7.4
9700,90900,25,2005,1,2,1,1,1,5,8.911157025
868888,565,22,2022,5,3,1,1,1,5,15.1
40490,2000,16,2022,5,4,1,1,5,5,6.3
44999,28500,16,2019,5,3,1,1,3,5,8.2
38500,64331,16,2017,5,3,1,1,1,5,7.5
43480,3,16,2022,5,2,1,1,5,5,6.9
15990,145633,16,2010,5,4,1,1,3,5,11.5
19990,144117,16,2011,5,4,1,1,6,7,11.3
42998,64942,16,2018,5,3,1,1,1,7,8.8
45777,63100,16,2019,5,3,1,1,4,7,8.8
11999,119033,3,2012,2,2,1,2,7,5,6.5
60000,40000,18,2015,3,1,1,1,1,2,7.7
57000,2200,20,2022,5,3,4,1,5,5,1.9
3100,243000,10,2005,1,2,1,1,5,5,9.1
38888,68734,6,2019,5,2,2,1,7,5,6.7
7490,200634,6,2007,5,4,1,1,7,5,10.5
8799,230325,6,2008,5,4,1,1,7,5,9.8
178990,77379,12,1976,3,1,1,1,11,4,23
138028,5628,2,2021,5,3,3,1,1,5,8.911157025
124990,11920,2,2020,5,3,3,1,3,5,8.911157025
232386,0,2,2022,1,3,3,1,3,5,8.911157025
232368,0,2,2022,1,3,3,1,1,5,8.911157025
99990,37,11,2022,5,2,3,1,3,5,8.911157025